frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
37,3.0,[1650.891993685534 11.302675381073755 3276.7909158883 1465.687519915552],[2084.46923828125 1150.4447021484375 2683.30908203125 1343.008056640625],0.7276017665863037,PIH-611,0.46695554418376833
38,3.0,[1650.9026226876144 11.1082630902863 3276.782148572916 1466.0827330340019],[2084.323974609375 1150.17626953125 2677.80859375 1345.0101318359375],0.7255964875221252,PIH-611,0.37543192957941646
38,1.0,[177.94778979969624 134.30463168246047 1748.8133483653626 1137.471411567428],[418.4600830078125 897.17431640625 794.4656982421875 1043.7469482421875],0.6879812479019165,EIACU-805,0.8577772056326263
39,1.0,[176.121929957131 134.92181264565858 1746.596781577261 1138.3115227827723],[419.310791015625 901.5828247070312 794.1378173828125 1038.982177734375],0.6917000412940979,EIACU-805,0.6950681487108895
40,3.0,[1651.927679761544 9.659064082355712 3277.494202082139 1463.9112018950827],[2082.5205078125 1154.9825439453125 2684.116455078125 1348.1470947265625],0.7209550738334656,PIH-611,0.6654998929100855
40,1.0,[175.8228375868814 134.37304103776364 1747.002405625821 1138.0283139858088],[418.2814636230469 899.7332763671875 792.38232421875 1038.67236328125],0.6883494257926941,ACU-805,0.9736387605432835
41,3.0,[1652.7453124273477 10.124383290058063 3278.6624443240316 1465.2109806380213],[2085.8447265625 1153.987060546875 2689.295166015625 1348.90869140625],0.7269790172576904,PIH-611,0.8454952631511764
41,1.0,[174.13275978326772 134.555040226163 1745.7725670205805 1138.5376108145315],[415.82904052734375 900.5154418945312 793.7012939453125 1042.32763671875],0.6980279684066772,EIACU-805,0.6801012006150834
42,3.0,[1653.4743198080066 10.214527311190182 3280.1711740989085 1465.82702493926],[2082.604248046875 1152.1292724609375 2692.27001953125 1351.78076171875],0.7348800897598267,PIH-611,0.4669257771395768
42,1.0,[173.19543081997824 135.30026752457644 1745.5367865776698 1139.9956737821349],[417.66119384765625 900.2742919921875 796.7166137695312 1046.0452880859375],0.706037700176239,EIACU-805,0.8942092460561147
