frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
154,2,9.804545560366137 166.45401171119545 1818.9896093212592 1268.8112054787216,160.5706329345703 981.167724609375 518.75537109375 1159.862548828125,0.7246884107589722,KJP-527,0.5291064075552424
155,2,14.950673186109839 163.65464546328326 1829.1338962988523 1267.4796337815799,173.28128356933593 980.54267578125 532.3109497070312 1157.8875732421875,0,0,0
156,2,20.09680081185354 160.85527921537107 1839.2781832764454 1266.1480620844382,185.99193420410157 979.917626953125 545.8665283203125 1155.91259765625,0,0,0
157,2,25.242928437597243 158.05591296745888 1849.4224702540387 1264.8164903872967,198.70258483886718 979.292578125 559.4221069335938 1153.9376220703125,0,0,0
158,2,30.389056063340945 155.2565467195467 1859.5667572316318 1263.484918690155,211.41323547363282 978.667529296875 572.977685546875 1151.962646484375,0,0,0
159,2,35.53518368908465 152.4571804716345 1869.7110442092248 1262.1533469930132,224.12388610839844 978.04248046875 586.5332641601562 1149.9876708984375,0.7068088054656982,KJP-527,0.8566088476110544
160,2,49.93250828545031 152.49666657125564 1882.1906747233838 1262.9746120371433,241.04412841796875 979.227392578125 604.9113159179688 1152.4757080078125,0,0,0
161,2,64.32983288181597 152.5361526708768 1894.670305237543 1263.7958770812736,257.96437072753906 980.4123046875 623.2893676757812 1154.9637451171875,0,0,0
162,2,78.72715747818162 152.57563877049796 1907.149935751702 1264.6171421254037,274.8846130371094 981.597216796875 641.6674194335938 1157.4517822265625,0,0,0
163,2,93.12448207454729 152.6151248701191 1919.6295662658613 1265.438407169534,291.8048553466797 982.78212890625 660.0454711914062 1159.9398193359375,0,0,0
164,2,107.52180667091295 152.65461096974025 1932.1091967800203 1266.259672213664,308.72509765625 983.967041015625 678.4235229492188 1162.4278564453125,0.7341322302818298,KJP-527,0.8599618943002174
165,2,125.33362599577436 154.85560566809374 1946.4648049060586 1269.812954885721,322.69696044921875 986.6048583984375 695.4578857421875 1164.7073974609375,0,0,0
166,2,143.14544532063576 157.05660036644724 1960.820413032097 1273.3662375577778,336.6688232421875 989.24267578125 712.4922485351562 1166.9869384765625,0.7680423855781555,KJP-527,0.8431883741653365
167,2,163.60444545513064 160.76910478475793 1977.4328071668147 1276.049083761357,372.7137451171875 999.6651000976562 740.2591552734375 1167.312744140625,0.7449914216995239,IDKJP-527,0.43820766336056594
168,2,181.06152108264234 164.39568943875224 1988.3632733666745 1281.5131790397581,390.76519775390625 1000.65087890625 755.597412109375 1167.325927734375,0.7341859936714172,KJP-527,0.9940532638019303
169,2,195.65447355693817 166.04361757135905 1998.1997758922048 1284.372081507139,406.2797790527344 1002.3132202148438 773.3161865234375 1170.54794921875,0,0,0
170,2,210.24742603123403 167.69154570396586 2008.036278417735 1287.2309839745199,421.7943603515625 1003.9755615234375 791.0349609375 1173.769970703125,0,0,0
171,2,224.84037850552986 169.33947383657267 2017.8727809432655 1290.089886441901,437.30894165039064 1005.6379028320313 808.7537353515625 1176.9919921875,0,0,0
172,2,239.4333309798257 170.98740196917947 2027.7092834687958 1292.9487889092818,452.8235229492187 1007.300244140625 826.472509765625 1180.214013671875,0,0,0
173,2,254.02628345412154 172.63533010178628 2037.545785994326 1295.8076913766627,468.3381042480469 1008.9625854492188 844.1912841796875 1183.43603515625,0.7345324754714966,KJP-527,0.981084243455406
174,2,266.6355392083708 173.23919429695013 2045.170051845453 1299.3639510820826,477.439453125 1009.87646484375 857.2095336914062 1183.5206298828125,0.7264243364334106,KJP-527,0.9816793004096335
